CustomerKey,Full Name,Gender,Customer City
11000,Jon Yang,Male,Rockhampton
11001,Eugene Huang,Male,Seaford
11002,Ruben Torres,Male,Hobart
11003,Christy Zhu,Female,North Ryde
11004,Elizabeth Johnson,Female,Wollongong
11005,Julio Ruiz,Male,East Brisbane
11006,Janet Alvarez,Female,Matraville
11007,Marco Mehta,Male,Warrnambool
11008,Rob Verhoff,Female,Bendigo
11009,Shannon Carlson,Male,Hervey Bay
11010,Jacquelyn Suarez,Female,East Brisbane
11011,Curtis Lu,Male,East Brisbane
11012,Lauren Walker,Female,Bremerton
11013,Ian Jenkins,Male,Lebanon
11014,Sydney Bennett,Female,Redmond
11015,Chloe Young,Female,Burbank
11016,Wyatt Hill,Male,Imperial Beach
11017,Shannon Wang,Female,Sunbury
11018,Clarence Rai,Male,Bendigo
11019,Luke Lal,Male,Langley
11020,Jordan King,Male,Metchosin
11021,Destiny Wilson,Female,Beaverton
11022,Ethan Zhang,Male,Bellingham
11023,Seth Edwards,Male,Bellflower
11024,Russell Xie,Male,Concord
11025,Alejandro Beck,Male,Hawthorne
11026,Harold Sai,Male,Goulburn
11027,Jessie Zhao,Male,Warrnambool
11028,Jill Jimenez,Female,St. Leonards
11029,Jimmy Moreno,Male,Bendigo
11030,Bethany Yuan,Female,Cloverdale
11031,Theresa Ramos,Female,Matraville
11032,Denise Stone,Female,Melbourne
11033,Jaime Nath,Male,Milsons Point
11034,Ebony Gonzalez,Female,North Sydney
11035,Wendy Dominguez,Female,Cranbourne
11036,Jennifer Russell,Female,National City
11037,Chloe Garcia,Female,Cliffside
11038,Diana Hernandez,Female,Lavender Bay
11039,Marc Martin,Male,Wollongong
11040,Jesse Murphy,Male,Tacoma
11041,Amanda Carter,Female,Glendale
11042,Megan Sanchez,Female,Los Angeles
11043,Nathan Simmons,Male,Glendale
11044,Adam Flores,Male,Hervey Bay
11045,Leonard Nara,Male,Matraville
11046,Christine Yuan,Female,Lavender Bay
11047,Jaclyn Lu,Female,Geelong
11048,Jeremy Powell,Male,Sunbury
11049,Carol Rai,Female,Chula Vista
11050,Alan Zheng,Male,Hobart
11051,Daniel Johnson,Male,Caloundra
11052,Heidi Lopez,Female,Matraville
11053,Ana Price,Female,San Diego
11054,Deanna Munoz,Female,Geelong
11055,Gilbert Raje,Male,East Brisbane
11056,Michele Nath,Female,Newcastle
11057,Carl Andersen,Male,Lane Cove
11058,Marc Diaz,Male,Findon
11059,Ashlee Andersen,Female,Townsville
11060,Jon Zhou,Male,Warrnambool
11061,Todd Gao,Male,Gold Coast
11062,Noah Powell,Male,Portland
11063,Angela Murphy,Female,Redmond
11064,Chase Reed,Male,Downey
11065,Jessica Henderson,Female,La Jolla
11066,Grace Butler,Female,Lebanon
11067,Caleb Carter,Male,Port Orchard
11068,Tiffany Liang,Female,Warrnambool
11069,Carolyn Navarro,Female,Gold Coast
11070,Willie Raji,Male,Sunbury
11071,Linda Serrano,Female,Hawthorne
11072,Casey Luo,Female,St. Leonards
11073,Amy Ye,Female,Springwood
11074,Levi Arun,Male,Cloverdale
11075,Felicia Jimenez,Female,Bendigo
11076,Blake Anderson,Male,Wollongong
11077,Leah Ye,Female,Melton
11078,Gina Martin,Female,Cliffside
11079,Donald Gonzalez,Male,Geelong
11080,Damien Chander,Male,Perth
11081,Savannah Baker,Female,Concord
11082,Angela Butler,Female,Fremont
11083,Alyssa Cox,Female,Lincoln Acres
11084,Lucas Phillips,Male,Lebanon
11085,Emily Johnson,Female,Newport Beach
11086,Ryan Brown,Male,Santa Monica
11087,Tamara Liang,Female,Chula Vista
11088,Hunter Davis,Male,San Diego
11089,Abigail Price,Female,Long Beach
11090,Trevor Bryant,Male,Los Angeles
11091,Dalton Perez,Male,Haney
11092,Cheryl Diaz,Female,East Brisbane
11093,Aimee He,Female,Wollongong
